CaseID,par_weight,teen_weight,xspanish,xprimelan,QS1,QS2,P1_A,P1_B,P1_C,P1_D,P1_E,P2_A,P2_B,P2_C,P2_D,P3,P4,P5,P6,P7_A,P7_B,P7_C,P8,P9,P10,P10_1,P11,P11_5,P12_A,P12_B,P12_C,P13_A,P13_B,P13_C,P13_D,P13_E,P14_F,P14_G,P14_H,P15_A,P15_B,P15_C,P15_D,P15_E,QS9,QS10_1,QS10_2,QS10_3,QS10_4,QS10_5,QS10_6,QS10_7,QS10_8,QS10_9,QS10_10,QS10_11,QS10_12,QS10_13,QS10_14,QS10_15,QS10_Refused,QS10_3_Specify,QS10_10_Specify,QS10_14_Specify,QS10_15_Specify,KINTMOB,K2,K3_A,K3_B,K3_C,K3_D,K3_E,K4,K5_A,K5_B,K5_C,K5_D,K5_E,K5_1_A,K5_1_B,K5_1_C,K6_1,K6_2,K6_3,K6_4,K6_5,K6_6,K6_7,K6_8,K7,K8,K8_Refused,KFB1A,KFB1B,KFB1C,K9,KF10_1,KF10_1_Specify,KF10_2,KF10_2_Specify,KF10_3,KF10_3_Specify,KFMEET,KFMEET2_1,KFMEET2_2,KFMEET2_3,KFMEET2_4,KFMEET2_5,KFMEET2_8,KFMEET2_Refused,KFMEET2_8_Specify,KFMEET3,KFR11_A,KFR11_B,KFR11_C,KFR11_D,KFR11_E,KFR11_F,KFR11_G,KFR11_H,KFR11_I,KGAME1,KGAME2,KGAME3_1,KGAME3_2,KGAME3_3,KGAME4,KGAME5_A,KGAME5_B,KGAME5_C,KGAME5_D,KF12,KF13_A,KF13_B,KF13_C,KF13_D,KF13_E,KF13_F,KF13_G,KF13_H,KF13_I,KF13_Specify,KF13_1,KF13_1_Specify,KF13_2,KF13_2_Specify,KF13_3,KF13_3_Specify,KFSNS1_A,KFSNS1_B,KFSNS1_C,KFSNS1_D,KFSNS1_E,KFSNS2_A,KFSNS2_B,KFSNS2_C,KFSNS2_D,KFSNS3_A,KFSNS3_B,KFSNS3_C,KF14,KFSNS4_A,KFSNS4_B,KFSNS4_C,KF15,KDATE1,DT1,DT1A,KR1,REL3,REL3_Refused,KR2,KDATE2_A,KDATE2_B,KDATE2_C,KDATE2_D,KDATE2_E,KDATE2_F,KDATE2_G,KDATE2_H,KDATE2_I,KDATE2_Specify,KR3_A,KR3_B,KR3_C,KR4_1,KR4_2,KR4_3,KR4_4,KR4_5,KR4_6,KR4_7,KR4_Refused,KR4_Specify,KR5,KR6_A,KR6_B,KR6_C,KR6_D,KR6_E,KR6_F,KR6_G,KR6_H,KR6_I,KR7_A,KR7_B,KR7_C,KR7_D,KR7_E,KR7_F,KR7_G,KR7_H,KR7_I,KR7_J,KR8,KR9,KRSNS1_A,KRSNS1_B,KRSNS1_C,KRSNS1_D,KRSNS2_A,KRSNS2_B,KRSNS2_C,KRSNS2_D,KRSNS2_E,KRSNS3_A,KRSNS3_B,KRSNS3_C,REL8_A,REL8_B,REL8_C,REL8_D,REL8_E,KR10_1,KR10_2,KR10_3,KR10_4,KR10_5,KR10_6,KR11_A,KR11_B,KR11_C,KR11_D,KR11_E,KR11_F,KR11_G,KR11_H,KR11_I,KR11_J,KR11_K,KR11_Refused,KR11_Specify,KR12_1,KR12_2,KR12_3,KR12_4,KR12_5,KR12_6,KR12_7,KR12_8,KR12_9,KR12_10,KR12_11,KR12_Refused,KR12_Specify,KR13_A,KR13_B,KR13_C,KR13_D,KR13_E,KR13_F,KRSNS4_A,KRSNS4_B,KRSNS4_C,KRCELL_D,KRCELL_E,DT2_A,DT2_B,DT2_C,DT2_D,DT2_E,DT2_F,DT2_G,DT2_H,DT2_I,DT4,DT4A,KRS,KSO,KSO_Specify,KTG,KEND,Teen_Ethn,Child_age,Child_gender,PPAGE,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET
1016, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50,11,3,1,2,0,3,1,10,4,1,3,6,2,61,0,0,0,1,2,1,1
1017, , ,1,5,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,78,10,3,1,1,1,3,1,11,1,1,3,5,1,56,0,0,0,0,3,5,1
1018,.4314,.2648,2,3,1,1,1,2,1,1,1,1,2,2,1,4,2,3, ,2,2,1, , ,2, ,2, ,1,1,1,2,2,2,1,2,2,2,2,3,1,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , , ,mexicana,1,4,1,2,1,1,1,4,1,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,4, , ,5, , ,3,2, ,1, ,4, ,3,0,0,0,1,0,0,0, ,2,2,3,3,2,4,3,4,4,3,2,2,1,2,2,1,1,1,2,2,3,1,2,1,2,2,2,2,1,2, ,7, ,6, ,8,en su casa,1,3,1,3,3,3,3,3,3,1,1,1,2,2,2,2,2,2, , , , , , ,2,2,2,2,2,2,2,2,2, ,2,2, ,0,0,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,10,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,-1, ,-1,2,4,13,1,35,9,2,4,2,1,7,2,2,1,1,4,9,2,93,0,0,3,0,4,1,1
1019,.7266,.7799,1,5,1,1,2,1,1,1,1,1,2,1,2,3,2,2, ,1,2,1,1, ,2, ,2, ,1,1,1,2,2,1,1,2,2,2,2,3,3,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1, , ,50, , ,4,3, ,6, ,2, ,1, , , , , , , , , ,3,4,3,2,4,3,4,2, , , , , , , , , , , ,2,1,2,1,1,2,2,2,2,2, ,1, ,6, ,7, ,2,3,3,3,3,3,3,3,3,3,2,1,2,2,2,2,2,2, , , , , , ,2,1,2,2,2,2,2,1,2, ,2,2, ,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,10,9,1,7,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,1,14,2,36,9,2,1,2,1,4,1,13,1,1,3,5,1,55,0,0,1,1,2,1,1
1021,2.2407,1.3238,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2, ,2,2,1, , ,1,instamgram,2, ,1,2,1,1,2,1,1,2,1,1,1,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,1,1,15,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,2,3, , , , ,100,1,1, ,2, ,5, ,1, , , , , , , , , ,2,3,2,2,4,3,2,2,3,1,1,1,2,1,2,3,2,3,3,1,1,2,1,2,2,2,2,1,2, ,6, ,1, ,7, ,3,2,3,2,2,2,2,3,3,2,3,2,2,2,2,2,1,2, , , , , , ,1,2,1,2,2,2,2,1,2, ,2,2, ,1,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,2,6,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,1,15,2,37,12,4,4,2,1,6,1,16,1,1,2,4,1,42,0,0,2,1,3,7,1
1022,1.1855,.8486,1,5,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1, ,2,2, ,1, ,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,1,1,2,1,1,2,500,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2, , ,0,200,171,2,1, ,5, ,3, ,4,1,0,0,0,0,0,0, ,2,1,1,1,1,2,3,4,1, , , , , , , , , , , ,1,1,2,2,1,2,1,2,1,2, ,6, ,1, ,5, ,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1, ,1, , , ,1,1,1,1,1,2,2,1,2, ,1,1,1,0,0,0,0,1,0,0,0, ,1,3,1,1,1,1,4,2, ,4,1,1,1,1,2,1,1,2,2,1,2,2,1,2,1,1,2,3,1,1,2,1,1,1,1,1,1,1,1,7,10,9,2,5,5,0,1,0,0,0,0,0,0,0,0,0,0, ,0,1,0,0,0,0,0,0,0,0,0,0, ,1,1,1,2,1,2,1,2,1,2,2,3,3,3,3,3,3,3,3,3,2,2,1,2, ,4,2,1,17,2,45,12,4,1,1,1,4,1,18,1,1,1,1,1,14,0,0,0,1,3,1,1
1023,1.1855,.8435,1,5,1,1,1,2,1,1,1,1,2,1,2,3,1,2, ,1,1,1,1,1,2, ,2, ,1,1,1,2,2,1,1,2,2,2,2,2,2,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,2,2,50,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,3, , ,300,100,1500,3,3, ,6, ,1, ,1, , , , , , , , , ,1,3,1,1,4,4,4,2, , , , , , , , , , , ,2,1,2,2,2,2,2,2,1,2, ,6, ,1, ,7, ,2,3,2,2,2,3,3,3,3,2,2,3,2,1,1,2,2,2, , , , , , ,2,2,1,2,2,2,2,2,2, ,2,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,2,10,4,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,1,15,2,45,12,4,1,1,1,5,1,15,1,1,1,2,1,21,0,1,1,1,2,1,1
1024,1.1965,2.0514,1,5,2,2,1,2,1,2,1,1,2,1,2,3,1,2, ,1,2,1,1, ,2, ,1, ,1,1,1,2,2,2,1,1,2,2,1,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,1,1,20,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,2,1, , ,-99, ,-99,3,1, ,3, ,6, ,2,1,0,0,0,0,0,0, ,1,3,4,1,2,4,4,4,1,4,5,5, , , , , , , , ,2,1,2,1,2,2,2,2,1,2, ,6, ,1, ,7, ,1,2,2,3,3,1,3,3,3,2,2,2,2,1,1,2,2,1,2,2,1, , , ,1,1,2,1,2,2,2,1,2, ,1,2,1,1,0,0,0,0,0,0,0, ,2,1,4,1,4,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,2,3,3,3,3,3,3,2,2,2,2,1,2,2,2,1,10,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0, ,0,0,0,0,0,0,0,0,0,0,1,0, ,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3, , ,2,2, ,4,2,1,16,2,48,12,4,1,2,1,4,1,19,1,1,4,9,1,93,0,0,0,2,2,7,1
1026, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35,10,3,1,2,1,5,1,15,1,0,3,6,1,63,0,0,2,1,2,1,1
1027,.9641,.686,1,5,1,1,2,1,1,2,1,1,1,1,2,2,1,2, ,1,1,1,1,2,2, ,1, ,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,1,2,50,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,3, , ,400,150,441,2,1, ,3, ,2, ,1, , , , , , , , , ,2,3,1,2,3,4,4,2, , , , , , , , , , , ,1,1,2,1,1,2,1,1,1,2, ,6, ,1, ,3, ,2,3,3,2,3,2,3,3,2,3,2,2,2,1,2,2,2,2, , , , , , ,1,1,1,2,2,2,2,1,2, ,2,2, ,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,1,15,2,61,13,4,1,1,1,3,1,19,1,1,1,1,1,14,0,0,0,1,2,1,1
1028, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,49,13,4,1,1,1,5,1,19,1,1,2,3,1,33,0,0,2,1,2,1,1
1029,1.9623,.912,1,5,2,2,1,2,1,1,2,1,1,1,1,3,1,2, ,1,2,1,1, ,2, ,1, ,1,1,2,2,1,1,1,2,2,2,1,3,4,3,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,2,1,120,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,3, , ,300, ,120,2,6, ,1, ,4, ,1, , , , , , , , , ,3,4,1,1,2,3,4,4,4,2,2,1,1,1,2,3,3,3,3,3,1,2,1,2,2,2,1,1,1, ,6, ,1, ,7, ,1,3,2,3,3,3,3,3,3,2,3,1,1,1,2,2,2,1,2,2,1, , , ,1,1,1,1,2,2,2,1,2, ,2,1,1,0,1,0,0,0,0,0,0, ,1,2,2,1,3,3,4,3,4,3,2,2,1,2,2,2,2,2,2,1,3,2,3,3,3,3,3,3,3,2,3,2,2,2,2,1,1,1,1,1,10,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0, ,1,1,1,0,0,0,0,0,0,0,0,0, ,2,2,2,2,2,2,2,2,2,1,2,1,3,3,2,3,3,3,3,3, , ,1,2, ,4,2,5,17,1,45,11,3,1,2,1,5,1,15,1,0,3,5,1,56,0,0,0,2,3,1,1
1030, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45,12,4,1,2,1,4,1,15,1,1,2,4,1,43,0,0,0,2,2,2,1
1031,.7224,.672,1,5,1,1,1,-1,1,-1,-1,2,2,1,2,2,1,2, ,1,1,1, ,2,2, ,1, ,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,1,1,2,1,2,2,500,2,2,1,2,2,1,2,1,1,1,2,1,1,2,1,2,7, , ,-99,12, ,2,1, ,3, ,7, ,4,1,0,1,0,0,0,0, ,1,3,3,1,2,4,3,4,1, , , , , , , , , , , ,1,1,2,2,1,2,2,2,2,2, ,6, ,3, ,8,Snapchat,1,3,1,2,3,1,1,1,1,1,4,4,1,1,2,1,2,2, , , , , , ,1,1,1,1,1,2,2,1,1,"Shown them selfless where I looked cute af. I need to share my cute, and it isn't always in a sexual way, you nasties.",1,2, ,1,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,10,8,3,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,4,Pansexual,4,2,1,16,2,59,10,3,1,1,1,3,1,13,1,1,3,6,1,62,0,0,0,1,2,1,1
1032,.9353,.7738,1,5,1,1,1,-1,1,1,1,2,1,1,2,2,1,2, ,2,2,1, , ,1,Twitter,1, ,1,1,1,1,1,1,1,1,2,2,1,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,1,1,40,1,2,1,2,1,3,3,3,2,1,2,2,2,2,2,2,2, , , ,12, ,4,1, ,2, ,5, ,1, , , , , , , , , ,2,1,1,1,1,4,4,4,1,3,1,1,2,2,1,2,2,3,3,2,1,1,2,1,2,2,2,2,2, ,7, ,6, ,5, ,2,3,2,3,3,3,3,3,3,2,3,3,2,2,2,2,2,1,2,2,1, , , ,2,2,2,2,2,2,2,1,2, ,2,2,2,0,0,0,0,1,0,0,0, ,2,2,1,4,4,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,10,8,1,5,4,0,1,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0, ,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3, , ,2,2, ,4,2,1,14,1,43,12,4,1,1,1,5,1,16,1,1,2,3,1,32,0,1,1,1,2,1,1
1033, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45,9,2,1,2,0,3,1,11,1,1,2,3,1,31,0,0,0,1,2,1,1
1034, , ,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43,5,1,4,2,0,4,3,5,1,1,4,9,2,93,0,0,1,1,2,7,1
1037,.8455,.8236,1,5,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1, ,2, ,1, ,1,1,1,1,1,1,1,1,2,2,1,3,3,3,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,2,1,50,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1, , ,-99, , ,1,1, ,2, ,6, ,1, , , , , , , , , ,1,1,1,4,3,3,4,3,3,2,4,1,2,2,2,3,2,3,3,2,1,2,2,2,2,2,1,1,2, ,6, ,7, ,1, ,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2, , , , , , ,2,2,2,2,2,2,2,2,2, ,2,2, ,1,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,10,8,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,1,15,1,41,12,4,1,2,1,2,1,11,3,1,3,5,1,56,0,0,0,1,1,1,1
1038, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,13,4,1,2,1,5,1,15,1,1,4,8,1,87,0,1,1,1,2,2,1
1039,1.5211,1.4578,1,1,1,1,1,-1,1,1,1,1,2,1,2,2,1,2, ,2,1,1, ,2,2, ,1, ,2,2,2,2,2,1,1,2,1,2,2,4,4,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,1,1,30,2,2,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2, , , ,200,180,1,1, ,5, ,4, ,2,1,0,0,0,0,0,0, ,-1,2,1,1,1,3,1,1,1, , , , , , , , , , , ,3,1,2,2,2,2,2,2,2,2, ,1, ,6, ,7, ,2,2,3,3,2,3,3,3,3,4,4,4,2,2,2,1,2,2, , , , , , ,2,2,2,2,2,2,2,2,2, ,2,2, ,1,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,2,3,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, ,4,2,4,14,2,46,11,3,4,1,1,3,1,17,1,1,3,7,1,74,0,0,0,1,2,1,1
1040,1.1333,3.3773,1,5,1,1,2,2,1,1,2,1,2,1,1,4,2,2, ,1,2,2,1, ,2, ,2, ,2,2, ,1,2,1,1,1, , , ,4,4,3,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,4,2,2,2,1,1, ,1,1,1,1,2, , , ,1,1,1,2,2,2,2,1,1, ,-1,-99,-99,-99,2,3, ,7, ,5, ,4,1,0,0,0,1,0,0, ,2,3,3,2,3,3,2, ,2,3,3,5, , , , , , , , ,5,1,1,1,1,2,2,1,2,2, ,1, ,8, ,8, ,1,3,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2, , , , , , ,1,1,2,1,2,2,1,1,2, ,2,1, ,0,0,0,1,1,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,8,7,8,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, ,2,2,2,16,2,45,9,2,2,1,1,5,1,8,6,1,2,3,2,32,0,0,0,1,4,1,1
1041, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,42,12,4,1,2,1,3,1,17,1,1,1,2,1,23,0,0,0,1,2,2,1
1042, , ,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48,9,2,4,2,1,3,1,6,1,1,4,8,1,86,0,0,0,1,2,7,1
1044, , ,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,9,2,4,2,1,2,3,7,4,1,2,3,2,33,0,0,1,0,1,1,1
1046,.5665,.5964,1,5,1,1,2,1,1,1,1,1,2,1,2,2,1,2, ,1,2,2,2, ,2, ,2, ,1,1, ,1,1,1,2,1, , , ,4,4,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,2,3,2,2,1,2,2, ,2,2,1,2,2, , , ,1,2,2,2,2,2,2,2,1, , ,8, , ,1,6, ,3, ,5, ,3,1,0,0,0,0,0,0, ,2,2,1,2,1,3,2, ,1, , , , , , , , , , , ,3,1,2,2,1,2,2,1,1,2, ,1, ,7, ,6, ,1,3,2,3,3,2,3,2,1,2,2,2,2,1,1,1,2,2, , , , , , ,1,1,1,2,2,1,2,2,2, ,2,2, ,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,2,4,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, ,4,2,1,14,2,75,12,4,1,1,1,3,1,13,1,1,3,7,1,72,0,0,0,1,2,1,1
